paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10
1,,06:44,08:19,09:54,11:29,13:04,14:39,16:14,17:49,19:24
81,,06:48,08:23,09:58,11:33,13:08,14:43,16:18,17:53,19:28
80,,06:50,08:25,10:00,11:35,13:10,14:45,16:20,17:55,19:30
79,,06:52,08:27,10:02,11:37,13:12,14:47,16:22,17:57,19:32
77,,06:53,08:28,10:03,11:38,13:13,14:48,16:23,17:58,19:33
19,,06:54,08:29,10:04,11:39,13:14,14:49,16:24,17:59,19:34
75,,06:57,08:32,10:07,11:42,13:17,14:52,16:27,18:02,19:37
5,,06:59,08:34,10:09,11:44,13:19,14:54,16:29,18:04,19:39
74,,07:00,08:35,10:10,11:45,13:20,14:55,16:30,18:05,19:40
70,,07:02,08:37,10:12,11:47,13:22,14:57,16:32,18:07,19:42
4,,07:04,08:39,10:14,11:49,13:24,14:59,16:34,18:09,19:44
71,,07:05,08:40,10:15,11:50,13:25,15:00,16:35,18:10,19:45
72,,07:06,08:41,10:16,11:51,13:26,15:01,16:36,18:11,19:46
73,,07:07,08:42,10:17,11:52,13:27,15:02,16:37,18:12,19:47
10,,07:08,08:43,10:18,11:53,13:28,15:03,16:38,18:13,
69,,07:09,08:44,10:19,11:54,13:29,15:04,16:39,18:14,
17,,07:10,08:45,10:20,11:55,13:30,15:05,16:40,18:15,
16,,07:12,08:47,10:22,11:57,13:32,15:07,16:42,18:17,
68,,07:15,08:50,10:25,12:00,13:35,15:10,16:45,18:20,
65,,07:17,08:52,10:27,12:02,13:37,15:12,16:47,18:22,
63,,07:19,08:54,10:29,12:04,13:39,15:14,16:49,18:24,
14,,07:22,08:57,10:32,12:07,13:42,15:17,16:52,18:27,
92,,07:29,09:04,10:39,12:14,13:49,15:24,16:59,18:34,
91,06:05,07:34,09:09,10:44,12:19,13:54,15:29,17:04,18:39,
90,06:08,07:37,09:12,10:47,12:22,13:57,15:32,17:07,18:42,
89,06:11,07:40,09:15,10:50,12:25,14:00,15:35,17:10,18:45,
87,06:15,07:44,09:19,10:54,12:29,14:04,15:39,17:14,18:49,
88,06:17,07:46,09:21,10:56,12:31,14:06,15:41,17:16,18:51,
86,06:22,07:51,09:26,11:01,12:36,14:11,15:46,17:21,18:56,
85,06:25,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,
84,06:27,07:56,09:31,11:06,12:41,14:16,15:51,17:26,19:01,
83,06:31,08:00,09:35,11:10,12:45,14:20,15:55,17:30,19:05,
20,06:35,08:05,09:40,11:15,12:50,14:25,16:00,17:35,19:10,
