paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,vuelta12
1,,06:25,07:45,09:05,10:25,11:45,13:05,14:25,15:45,17:05,18:25,19:45
21,,06:30,07:50,09:10,10:30,11:50,13:10,14:30,15:50,17:10,18:30,
23,,06:33,07:53,09:13,10:33,11:53,13:13,14:33,15:53,17:13,18:33,
25,,06:35,07:55,09:15,10:35,11:55,13:15,14:35,15:55,17:15,18:35,
27,,06:38,07:58,09:18,10:38,11:58,13:18,14:38,15:58,17:18,18:38,
30,,06:41,08:01,09:21,10:41,12:01,13:21,14:41,16:01,17:21,18:41,
32,,06:44,08:04,09:24,10:44,12:04,13:24,14:44,16:04,17:24,18:44,
31,,06:48,08:08,09:28,10:48,12:08,13:28,14:48,16:08,17:28,18:48,
33,,06:50,08:10,09:30,10:50,12:10,13:30,14:50,16:10,17:30,18:50,
29,,06:52,08:12,09:32,10:52,12:12,13:32,14:52,16:12,17:32,18:52,
26,,06:54,08:14,09:34,10:54,12:14,13:34,14:54,16:14,17:34,18:54,
8,,06:55,08:15,09:35,10:55,12:15,13:35,14:55,16:15,17:35,18:55,
11,,06:57,08:17,09:37,10:57,12:17,13:37,14:57,16:17,17:37,18:57,
24,,06:59,08:19,09:39,10:59,12:19,13:39,14:59,16:19,17:39,18:59,
22,,07:00,08:20,09:40,11:00,12:20,13:40,15:00,16:20,17:40,19:00,
20,,07:03,08:23,09:43,11:03,12:23,13:43,15:03,16:23,17:43,19:03,
92,05:50,07:10,08:30,09:50,11:10,12:30,13:50,15:10,16:30,17:50,19:10,
97,05:55,07:15,08:35,09:55,11:15,12:35,13:55,15:15,16:35,17:55,19:15,
98,05:56,07:16,08:36,09:56,11:16,12:36,13:56,15:16,16:36,17:56,19:16,
99,05:58,07:18,08:38,09:58,11:18,12:38,13:58,15:18,16:38,17:58,19:18,
100,06:01,07:21,08:41,10:01,11:21,12:41,14:01,15:21,16:41,18:01,19:21,
101,06:03,07:23,08:43,10:03,11:23,12:43,14:03,15:23,16:43,18:03,19:23,
102,06:05,07:25,08:45,10:05,11:25,12:45,14:05,15:25,16:45,18:05,19:25,
103,06:07,07:27,08:47,10:07,11:27,12:47,14:07,15:27,16:47,18:07,19:27,
104,06:10,07:30,08:50,10:10,11:30,12:50,14:10,15:30,16:50,18:10,19:30,
105,06:12,07:32,08:52,10:12,11:32,12:52,14:12,15:32,16:52,18:12,19:32,
106,06:14,07:34,08:54,10:14,11:34,12:54,14:14,15:34,16:54,18:14,19:34,
107,06:15,07:35,08:55,10:15,11:35,12:55,14:15,15:35,16:55,18:15,19:35,
